ANALYTE_ACCESSION	ANALYTE_PREFERRED	CLUSTER_SUBUNIT_GENE_IDS	CLUSTER_SUBUNIT_GENE_SYMBOLS	CLUSTER_SUBUNIT_UNIPROT_IDS	CLUSTER_SUBUNIT_UNIPROT_NAMES	GENE_ADDITIONAL_NAMES	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	IX_SYNONYMS	LINK	MESH_ID	MESH_NAME	OFFICIAL_GENE_NAME	OMIM_ID	ORTHOLOG_IDS	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	PROTEIN_ONTOLOGY_URL	SHEN_ORR_ID	TAXONOMY_ID	TYPOGRAPHICAL_VARIATIONS	UNIPROT_ALT_PROT_NAMES	UNIPROT_ID	UNIPROT_PROTEIN_NAME	UNIQUE_ID
ANA541	Ebi3					IL27 subunit beta;interleukin27 subunit beta;epsteinBarr virusinduced gene 3 protein homolog;IL27B;	EBI-3;IL-27;	50498	MGI:1354171	Ebi3	-	http://www.ncbi.nlm.nih.gov/gene/?term=50498	-	-	Epstein-Barr virus induced gene 3	605816	10148	PR:000001386	interleukin-27 subunit beta	epstein-Barr virus-induced gene 3 protein;epstein-Barr virus-induced gene 3 protein homolog;EBV-induced gene 3 protein;Il17b;EBI3;IL-27B;IL-27 subunit beta;IL27B;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001386	-	10090	-	IL-27 subunit beta;IL-27B;Epstein-Barr virus-induced gene 3 protein homolog;	IL27B_MOUSE	Interleukin-27 subunit beta	CID_121
ANA542	Egf					Proepidermal growth factor precursor (EGF);proepidermal growth factor;	AI790464;	13645	MGI:95290	Egf	Epidermal_growth_factor;	http://www.ncbi.nlm.nih.gov/gene/?term=13645	D004815	Epidermal Growth Factor	epidermal growth factor	131530	1950	PR:000006928	pro-epidermal growth factor	EGF;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000006928	329	10090	Epidermal Growth Factor;EGF;	EGF;	EGF_MOUSE	Epidermal growth factor	CID_58
ANA543	Egfr					avian erythroblastic leukemia viral (v-erb-b) oncogene homolog;waved 2;	RP23-295E4.1;9030024J15Rik;AI552599;Erbb;Errb1;Errp;Wa5;wa-2;wa2;	13649	MGI:95294	Egfr	-	http://www.ncbi.nlm.nih.gov/gene/?term=13649	-	-	epidermal growth factor receptor	131550	1956	PR:000006933	epidermal growth factor receptor	ERBB1;receptor tyrosine-protein kinase erbB-1;EGFR;proto-oncogene c-ErbB-1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000006933	-	10090	-	-	EGFR_MOUSE	Epidermal growth factor receptor	CID_261
ANA544	Epo					erythropoietin;	-	13856	MGI:95407	Epo	-	http://www.ncbi.nlm.nih.gov/gene/?term=13856	D004921	Erythropoietin	erythropoietin	133170	2056	PR:000007141	erythropoietin	epoetin;EPO;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007141	-	10090	Erythropoietin;	-	EPO_MOUSE	Erythropoietin	CID_59
ANA545	Epor					-	-	13857	MGI:95408	Epor	-	http://www.ncbi.nlm.nih.gov/gene/?term=13857	-	-	erythropoietin receptor	133171	2057	PR:000007142	erythropoietin receptor	EPO-R;EPOR;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007142	-	10090	-	EPO-R;	EPOR_MOUSE	Erythropoietin receptor	CID_197
ANA546	Fas					FASLG receptor;Fas (TNF receptor superfamily member);Fas antigen;apo-1 antigen;apoptosis-mediating surface antigen FAS;lymphoproliferation;tumor necrosis factor receptor superfamily member 6;	AI196731;APO1;APT1;CD95;TNFR6;Tnfrsf6;lpr;	14102	MGI:95484	Fas	-	http://www.ncbi.nlm.nih.gov/gene/?term=14102	-	-	Fas (TNF receptor superfamily member 6)	134637	355	PR:000001962	tumor necrosis factor receptor superfamily member 6	APT1;CD95;FASPRO-short-label;FAS1;FASLG receptor;TNFRSF6;apo-1 antigen;apoptosis-mediating surface antigen FAS;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001962	-	10090	-	Apo-1 antigen;Apoptosis-mediating surface antigen FAS;FASLG receptor;	TNR6_MOUSE	Tumor necrosis factor receptor superfamily member 6	CID_178
ANA547	Fasl					tumor necrosis factor ligand superfamily member 6;CD95 ligand;Fas antigen ligand;generalized lymphoproliferative disease	gld;CD178;CD95L;Fas-L;Faslg;CD95-L;Tnfsf6;APT1LG1	14103	MGI:99255	Fasl	-	http://www.ncbi.nlm.nih.gov/gene/?term=14103	D053222	Fas Ligand Protein	-	134638	356	PR:000000095	fas ligand, TNF-like 	APT1LG1;APTL;CD178;CD95 ligand;CD95-L;CD95L;FASL;FASLGPRO-short-label;Fas antigen ligand;Fas ligand;TNFSF6;apoptosis antigen ligand;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000000095	-	10090	-	CD95 ligand;CD95-L;Fas antigen ligand;Fas ligand;FasL;CD178;	TNFL6_MOUSE	Tumor necrosis factor ligand superfamily member 6	CID_269
ANA548	Fgf1					HBGF1;heparinbinding growth factor 1;fibroblast growth factor 1 (acidic);acidic fibroblast growth factor;aFGF;fibroblast growth factor 1;	Fam;Fgfa;Dffrx;Fgf-1;	14164	MGI:95515	Fgf1	Fibroblast_Growth_Factor-1;ecgfb;ecgfa;fgf-a;glio703;fgfa;beta-endothelial cell growth factor;ecgf-beta;ecgf-(beta);fgf-alpha;fgf(alpha);fibroblast growth factor 1;acidic fibroblast growth factor;ecgf;afgf;fgf1;hbgf1;hbgf-1;fgf-1;(alpha)-fgf;fgf-(alpha);alpha-fgf;heparin-binding growth factor 1;fibroblast growth factor-1;(alpha)fgf;	http://www.ncbi.nlm.nih.gov/gene/?term=14164	D016220	Fibroblast Growth Factor 1	fibroblast growth factor 1	131220	2246	PR:000007479	heparin-binding growth factor 1	ECGF-beta;FGF1PRO-short-label;FGFA (RELATED);Fgf-1 (RELATED);HBGF-1;aFGF;acidic fibroblast growth factor;beta-endothelial cell growth factor;heparin-binding growth factor 1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007479	327	10090	Fibroblast Growth Factor 1;FGF1;FGF-1;	FGF-1;Acidic fibroblast growth factor;aFGF;Heparin-binding growth factor 1;HBGF-1;	FGF1_MOUSE	Fibroblast growth factor 1	CID_60
ANA549	Fgf2					basic fibroblast growth factor;HBGF2;heparinbinding growth factor 2;fibroblast growth factor 2;	Fgfb;bFGF;Fgf-2;	14173	MGI:95516	Fgf2	Fibroblast_Growth_Factor-2;fgfb;(beta)-fgf;fgf(beta);beta-fgf;basic fibroblast growth factor;fgf-(beta);fibroblast growth factor 2;hbgf-2;fgf2;(beta)fgf;hbgf2;heparin-binding growth factor 2;fgf-2;bfgf;fibroblast growth factor-2;fgf-beta;	http://www.ncbi.nlm.nih.gov/gene/?term=14173	D016222	Fibroblast Growth Factor 2	fibroblast growth factor 2	134920	2247	PR:000007489	fibroblast growth factor 2	BFGF;FGF2PRO-short-label;FGFB (RELATED);Fgf-2 (RELATED);HBGF-2;basic fibroblast growth factor;heparin-binding growth factor 2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007489	325	10090	Fibroblast Growth Factor 2; FGF2;FGF-2;	FGF-2;Basic fibroblast growth factor;bFGF;Heparin-binding growth factor 2;HBGF-2;	FGF2_MOUSE	Fibroblast growth factor 2	CID_61
ANA55	CSF2RB					GM-CSF/IL-3/IL-5 receptor common beta subunit;GM-CSF/IL-3/IL-5 receptor common beta-chain;colony-stimulating factor-2 receptor, beta, low-affinity;cytokine receptor common subunit beta;interleukin 3 receptor/granulocyte-macrophage colony stimulating factor 3 receptor, beta (high affinity);	CITF22-45C1.4;CD131;CDw131;IL3RB;IL5RB;SMDP5;	1439	HGNC:2436	CSF2RB	-	http://www.ncbi.nlm.nih.gov/gene/?term=1439	-	-	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	138981	12983	PR:000001339	cytokine receptor common beta chain	GM-CSF/IL-3/IL-5 receptor common beta subunit;IL3RB;CDw131;Csf2rb1;CSF2RB;Aic2b;CD131;IL5RB;Il3rb1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001339	-	9606	-	CDw131;GM-CSF/IL-3/IL-5 receptor common beta subunit;	IL3RB_HUMAN	Cytokine receptor common subunit beta	CID_194
ANA550	Flt3					FL cytokine receptor;fetal liver kinase 2;receptor-type tyrosine-protein kinase FLT3;tyrosine-protein kinase FLT3;tyrosine-protein kinase receptor flk-2;	B230315G04;CD135;Flk-2;Flk2;Flt-3;Ly72;wmfl;	14255	MGI:95559	Flt3	-	http://www.ncbi.nlm.nih.gov/gene/?term=14255	-	-	FMS-like tyrosine kinase 3	136351	2322	PR:000002001	receptor-type tyrosine-protein kinase FLT3	CD135;FLK-2;FLT-3;FLT3;Fms-like tyrosine kinase 3;STK-1;STK1;fetal liver kinase 2;stem cell tyrosine kinase 1;tyrosine-protein kinase FLT3;tyrosine-protein kinase receptor FLT3;tyrosine-protein kinase receptor flk-2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002001	-	10090	-	FL cytokine receptor;Fetal liver kinase 2;FLK-2;Fms-like tyrosine kinase 3;FLT-3;Tyrosine-protein kinase receptor flk-2;	FLT3_MOUSE	Receptor-type tyrosine-protein kinase FLT3	CID_198
ANA551	Flt3l					flt3 ligand;fms-related tyrosine kinase 3 ligand;	Ly72L;Flt3lg;	14256	MGI:95560	Flt3l	-	http://www.ncbi.nlm.nih.gov/gene/?term=14256	-	-	FMS-like tyrosine kinase 3 ligand	600007	2323	PR:000007564	fms-related tyrosine kinase 3 ligand	FLT3LG;Flt3L;flt3 ligand;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007564	-	10090	-	Fms-related tyrosine kinase 3 ligand;Flt3 ligand;Flt3L;SL cytokine;	FLT3L_MOUSE	Fms-related tyrosine kinase 3 ligand	CID_270
ANA552	Gdf15					macrophage inhibiting cytokine1;growth/differentiation factor 15;GDF15;	SBF;MIC-1;NAG-1;	23886	MGI:1346047	Gdf15	-	http://www.ncbi.nlm.nih.gov/gene/?term=23886	D055436	Growth Differentiation Factor 15	growth differentiation factor 15	605312	9518	PR:000007920	growth/differentiation factor 15	GDF-15;Sbf;NAG-1;prostate differentiation factor;macrophage inhibitory cytokine 1;placental TGF-beta;GDF15;NRG-1;PTGFB;NSAID-regulated gene 1 protein;PDF;placental bone morphogenetic protein;MIC1;NSAID-activated gene 1 protein;PLAB;MIC-1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007920	-	10090	Growth Differentiation Factor 15;	GDF-15;	GDF15_MOUSE	Growth/differentiation factor 15	CID_64
ANA553	Hgf					hepatocyte growth factor;hepatopoietinA;scatter factor;	SF;NK1;NK2;HGF/SF;SF/HGF;C230052L06Rik;	15234	MGI:96079	Hgf	Hepatocyte_Growth_Factor;hepatocyte growth factor;ftcf;hgfb;hepapoietin a;sf;hpta;hgf;f-tcf;hepapoietin-a;scatter factor;	http://www.ncbi.nlm.nih.gov/gene/?term=15234	D017228	Hepatocyte Growth Factor	hepatocyte growth factor	142409	3082	PR:000008534	hepatocyte growth factor	hepatopoeitin-A;HGF;scatter factor;HPTA;SF;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008534	335	10090	Hepatocyte Growth Factor;	Hepatopoietin-A;Scatter factor;SF;	HGF_MOUSE	Hepatocyte growth factor beta chain	CID_65
ANA554	Ifna1					IFNalpha1;interferon alpha family gene 1;interferon alpha1;	Ifa1;	15962	MGI:107668	Ifna1	Interferon_alpha_1;	http://www.ncbi.nlm.nih.gov/gene/?term=15962	-	-	interferon alpha 1	147660	3439	PR:000009177	interferon alpha-1	-	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000009177	10	10090	-	IFN-alpha-1;	IFNA1_MOUSE	Interferon alpha-1	CID_68
ANA555	Ifna10					interferon alpha family, gene 10;interferon alpha 10;interferon alpha family, gene 10GENE LINKOUTThe following LinkOut(www.ncbi.nlm.nih.gov/projects/linkout/index.html) resourcesare supplied by external providers. These providers are responsible formaintaining the links.;	Ifa10;	110296	MGI:107667	Ifna10	interferon_alpha_10;interferon alpha-10;interferon alpha-c;ifn-alpha-10;interferon, alpha-10;interferon alpha-6l;interferon alpha 10;interferon, alpha 10;leif c;mgc119878;ifn-alpha 10;ifna10;mgc119879;	http://www.ncbi.nlm.nih.gov/gene/?term=110296	-	-	interferon alpha 10	147577	3446	PR:000008911	interferon alpha-10	interferon alpha-C;IFN-alpha-10;interferon alpha-6L;LeIF C;IFNA10;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008911	33	10090	-	-	-	-	CID_69
ANA500	Ccr7					C-C CKR-7;C-C chemokine receptor type 7;CC-CKR-7;CCR-7;EBV-induced G-protein coupled receptor 1;MIP-3 beta receptor;chemokine (C-C) receptor 7;epstein-Barr virus-induced G-protein coupled receptor 1;	RP23-80N1.2;CD197;Cdw197;Cmkbr7;EBI1;Ebi1h;	12775	MGI:103011	Ccr7	-	http://www.ncbi.nlm.nih.gov/gene/?term=12775	-	-	chemokine (C-C motif) receptor 7	600242	1236	PR:000001203	C-C chemokine receptor type 7	CMKBR7;EBI1;C-C CKR-7;Ebi1h;CD197;CCR7;CDw197;MIP-3 beta receptor;CCR-7;BLR2;chemokine receptor CCR7;EBV-induced G-protein coupled receptor 1;epstein-Barr virus-induced G-protein coupled receptor 1;EVI1;CC-CKR-7;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001203	-	10090	-	C-C CKR-7;CC-CKR-7;CCR-7;Epstein-Barr virus-induced G-protein coupled receptor 1;EBI1;EBV-induced G-protein coupled receptor 1;MIP-3 beta receptor;	CCR7_MOUSE	C-C chemokine receptor type 7	CID_190
ANA501	Ccr8					C-C chemokine receptor type 8;C-C motif chemokine receptor 8;	C-C;C-C CKR-8;CC-CKR-8;CCR-8;CKR-8;Cmkbr8;mCCR8;	12776	MGI:1201402	Ccr8	-	http://www.ncbi.nlm.nih.gov/gene/?term=12776	-	-	chemokine (C-C motif) receptor 8	601834	1237	PR:000001204	C-C chemokine receptor type 8	CMKBR8;TER1;GPRCY6;C-C CKR-8;CKR-L1;CCR-8;chemokine receptor-like 1;CC-CKR-8;CCR8;CKRL1;CDw198;CMKBRL2;GPR-CY6;CC chemokine receptor CHEMR1;chemokine receptor CCR8;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001204	-	10090	-	C-C CKR-8;CC-CKR-8;CCR-8;	CCR8_MOUSE	C-C chemokine receptor type 8	CID_191
ANA502	Ccr9					C-C CKR-9;C-C chemokine receptor type 9;CC-CKR-9;CCR-9;chemokine C-C receptor 10;	A130091K22Rik;Cmkbr10;GPR-9-6;	12769	MGI:1341902	Ccr9	-	http://www.ncbi.nlm.nih.gov/gene/?term=12769	-	-	chemokine (C-C motif) receptor 9	604738	10803	PR:000001205	C-C chemokine receptor type 9	CC-CKR-9;C-C CKR-9;GPR-9-6;CDw199;CCR9;GPR28;chemokine receptor CCR9;G-protein coupled receptor 28;chemokine C-C receptor 10;Cmkbr10;CMKBR9;CCR-9;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001205	-	10090	-	C-C CKR-9;CC-CKR-9;CCR-9;Chemokine C-C receptor 10;	CCR9_MOUSE	C-C chemokine receptor type 9	CID_244
ANA503	Cd27					CD antigen 27;CD27L receptor;T-cell activation antigen CD27;tumor necrosis factor receptor superfamily member 7;tumor necrosis factor receptor superfamily, member 7;	S152;Tnfrsf7;Tp55;	21940	MGI:88326	Cd27	-	http://www.ncbi.nlm.nih.gov/gene/?term=21940	-	-	CD27 antigen	186711	939	PR:000001963	CD27 molecule	TNFRSF7;T-cell activation antigen CD27;CD27L receptor;CD27;T14;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001963	-	10090	-	CD27L receptor;T-cell activation antigen CD27;Tumor necrosis factor receptor superfamily member 7;	CD27_MOUSE	CD27 antigen	CID_182
ANA504	Cd4					T-cell differentiation antigen L3T4;T-cell surface antigen T4/Leu-3;T-cell surface glycoprotein CD4;T-cell surface glycoprotein CD4 precursor (T-cell surface antigen T4/Leu-3) (T-cell differentiation antigen L3T4);	L3T4;Ly-4;	12504	MGI:88335	Cd4	-	http://www.ncbi.nlm.nih.gov/gene/?term=12504	-	-	CD4 antigen	186940	920	PR:000001004	CD4 molecule	T-cell differentiation antigen L3T4;CD4;T-cell surface glycoprotein CD4;T-cell surface antigen T4/Leu-3;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001004	-	10090	-	T-cell differentiation antigen L3T4;T-cell surface antigen T4/Leu-3;	CD4_MOUSE	T-cell surface glycoprotein CD4	CID_181
ANA505	Cd40					B-cell surface antigen CD40;CD40L receptor;T-cell differentiation antigen;tumor necrosis factor receptor superfamily member 5;tumor necrosis factor receptor superfamily, member 5;	RP23-428M13.1;AI326936;Bp50;GP39;HIGM1;IGM;IMD3;T-BAM;TRAP;Tnfrsf5;p50;	21939	MGI:88336	Cd40	-	http://www.ncbi.nlm.nih.gov/gene/?term=21939	-	-	CD40 antigen	109535	958	PR:000001961	tumor necrosis factor receptor superfamily member 5	CD40;B-cell surface antigen CD40;CD40L receptor;TNFRSF5;CDw40;Bp50;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001961	-	10090	-	B-cell surface antigen CD40;Bp50;CD40L receptor;	TNR5_MOUSE	Tumor necrosis factor receptor superfamily member 5	CID_184
ANA506	Cd40lg					CD40 ligand;Tcell antigen Gp39;tumor necrosis factor ligand superfamily member 5;TNFrelated activation protein;	IGM;IMD3;Ly62;TRAP;gp39;CD154;Cd40l;HIGM1;Ly-62;T-BAM;CD40-L;Tnfsf5;	21947	MGI:88337	Cd40lg	cd40lg;cd40 ligand;higm1;hcd40l;tumor necrosis factor ligand superfamily member 5;imd3;t-bam;gp39;tnf-related activation protein;igm;t-cell antigen gp39;cd40l;cd154;trap;tnfsf5;	http://www.ncbi.nlm.nih.gov/gene/?term=21947	-	-	CD40 ligand	300386	959	PR:000001950	tumor necrosis factor ligand superfamily member 5	TRAP;CD40L;TNF-related activation protein;TNFSF5;T-cell antigen Gp39;CD40LG;CD154;CD40-L;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001950	55	10090	-	CD40-L;T-cell antigen Gp39;TNF-related activation protein;TRAP;Tumor necrosis factor ligand superfamily member 5;	CD40L_MOUSE	CD40 ligand, soluble form	CID_8
ANA507	Cd70					CD27L;CD70 antigen;tumor necrosis factor ligand superfamily member 7;Ki24 antigen;CD27 ligand;tumor necrosis factor (ligand) superfamily, member 7;	Cd27l;CD27LG;Tnfsf7;	21948	MGI:1195273	Cd70	cd27l;cd27lg;tumor necrosis factor (ligand) superfamily, member 7;tnfsf7;cd70;tumor necrosis factor ligand superfamily member 7;t14;tnf superfamily, member 7;cd27l receptor;t-cell activation antigen cd27;	http://www.ncbi.nlm.nih.gov/gene/?term=21948	D053282	Antigens, CD70	CD70 antigen	602840	970	PR:000001309	CD70 molecule	CD27 ligand;CD27-L;CD27L;CD27LG;CD70PRO-short-label;CD70 antigen;TNFSF7;tumor necrosis factor ligand superfamily member 7;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001309	59	10090	-	CD27 ligand;CD27-L;Tumor necrosis factor ligand superfamily member 7;	CD70_MOUSE	CD70 antigen	CID_9
ANA508	Cklf					chemokinelike factor 4;chemokinelike factor 6;chemokinelike factor 2;chemokinelike factor;	C32;CKLF1;CKLF3;CKLF4;CKLF5;Cklf2;Cklf6;UCK-1;HSPC224;1700001C14Rik;1810018M11Rik;	75458	MGI:1922708	Cklf	Chemokine-like_Factor;	http://www.ncbi.nlm.nih.gov/gene/?term=75458	-	-	chemokine-like factor	-	51192	PR:000005514	chemokine-like factor	chemokine-like factor;C32;CKLF;CKLF1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005514	207	10090	-	-	CKLF_MOUSE	Chemokine-like factor	CID_54
ANA509	Clcf1					Bcellstimulating factor 3;NNT1;BSF3;b cellstimulating factor 3;cardiotrophinlike cytokine factor 1;Bcell stimulating factor 3;neurotrophin1/Bcell stimulating factor3;NNT1/BSF3;novel neurotrophin1;	CLC;Bsf3;	56708	MGI:1930088	Clcf1	B_Cell_Stimulating_Factor_3;b-cell-stimulating factor 3;uii;urotensin-2;bsf3;u-ii;uts2;uts-2;ciss2;clc;urotensin 2;clcf-1;nr6;novel neurotrophin-1;pro1068;nnt1;clcf1;nnt-1;cardiotrophin-like cytokine factor 1;bsf-3;	http://www.ncbi.nlm.nih.gov/gene/?term=56708	-	-	cardiotrophin-like cytokine factor 1	607672	23529	PR:000005527	cardiotrophin-like cytokine factor 1	CLCF1;novel neurotrophin-1;BSF-3;NNT1;CLC;BSF3;B-cell-stimulating factor 3;NNT-1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005527	315	10090	-	B-cell-stimulating factor 3;BSF-3;Novel neurotrophin-1;NNT-1;	CLCF1_MOUSE	Cardiotrophin-like cytokine factor 1	CID_2
ANA51	CSF1					EC 2.7.10.1NP_757351.1;EC 2.7.10.1NP_757349.1;macrophage colonystimulating factor 1;EC 2.7.10.1;EC 2.7.10.1NP_757350.1;lanimostimNP_000748.3;	MCSF;CSF-1;	1435	HGNC:2432	MCSF	-	http://www.ncbi.nlm.nih.gov/gene/?term=1435	D016173	Macrophage Colony-Stimulating Factor	colony stimulating factor 1 (macrophage)	120420	12977	PR:000005930	macrophage colony-stimulating factor 1	M-CSF;MCSF;CSF1;lanimostim;Csfm;CSF-1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005930	-	9606	Macrophage Colony-Stimulating Factor;Macrophage Colony Stimulating Factor;MCSF;	CSF-1;M-CSF;MCSF;Lanimostim;	CSF1_HUMAN	Processed macrophage colony-stimulating factor 1	CID_141
ANA510	Cmtm1					chemokinelike factor super family 1;CKLFlike MARVEL transmembrane domain containing 1;	CKLFH;CKLFH1;CHLFH1a;Cklfsf1;	100504164	MGI:2447159	Cmtm1	cmtm1;cklf-like marvel transmembrane domain containing 1;mgc71870;cklfh;cmtm-1;cklfsf1;cklfh1;	http://www.ncbi.nlm.nih.gov/gene/?term=100504164	-	-	CKLF-like MARVEL transmembrane domain containing 1	607884	113540	PR:000029358	CKLF-like MARVEL transmembrane domain-containing protein 1	CMTM1;chemokine-like factor superfamily member 1;CKLFSF1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000029358	205	10090	-	-	B7ZP21_MOUSE	-	CID_55
ANA511	Cmtm6					chemokinelike factor super family 6;chemokinelike factor superfamily 6;chemokinelike factor superfamily member 6;CKLFlike MARVEL transmembrane domaincontaining protein 6;	Cklfsf6;AA536733;2810051A14Rik;	67213	MGI:2447165	Cmtm6	cmtm6;flj20396;cmtm-6;pro2219;cklfsf6;cklf-like marvel transmembrane domain containing 6;	http://www.ncbi.nlm.nih.gov/gene/?term=67213	-	-	CKLF-like MARVEL transmembrane domain containing 6	607889	54918	PR:000029359	CKLF-like MARVEL transmembrane domain-containing protein 6	CMTM6;CKLFSF6;chemokine-like factor superfamily member 6;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000029359	201	10090	-	Chemokine-like factor superfamily member 6;	CKLF6_MOUSE	CKLF-like MARVEL transmembrane domain-containing protein 6	CID_56
ANA512	Cmtm7					CKLFlike MARVEL transmembrane domaincontaining protein 7;chemokinelike factor superfamily member 7;chemokinelike factor super family 7;	LNV;Cklfsf7;AI481279;	102545	MGI:2447166	Cmtm7	cmtm7;cmtm-7;cklfsf7;cklf-like marvel transmembrane domain containing 7;flj30992;	http://www.ncbi.nlm.nih.gov/gene/?term=102545	-	-	CKLF-like MARVEL transmembrane domain containing 7	607890	112616	PR:000031311	CKLF-like MARVEL transmembrane domain-containing protein 7	Lnv;CMTM7;chemokine-like factor superfamily member 7;CKLFSF7;LNV;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000031311	203	10090	-	Chemokine-like factor superfamily member 7;LNV;	CKLF7_MOUSE	CKLF-like MARVEL transmembrane domain-containing protein 7	CID_57
ANA513	Cntfr					CNTF receptor subunit alpha;CNTFR-alpha;ciliary neurotrophic factor receptor subunit alpha;	RP23-167I12.1alpha;Cntfr;	12804	MGI:99605	Cntfr	-	http://www.ncbi.nlm.nih.gov/gene/?term=12804	-	-	ciliary neurotrophic factor receptor	118946	1271	PR:000005664	ciliary neurotrophic factor receptor subunit alpha	ciliary neurotrophic factor receptor alpha;CNTFR-alpha;CNTF receptor subunit alpha;CNTFR;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005664	-	10090	-	CNTF receptor subunit alpha;CNTFR-alpha;	CNTFR_MOUSE	Ciliary neurotrophic factor receptor subunit alpha	CID_253
ANA514	Csf1					EC 2.7.10.1;EC 2.7.10.1NP_001107002.1;EC 2.7.10.1NP_031804.3;macrophage colonystimulating factor 1;osteopetrosisNP_001107001.1;	op;Csfm;MCSF;C87615;	12977	MGI:1339753	Csf1	-	http://www.ncbi.nlm.nih.gov/gene/?term=12977	D016173	Macrophage Colony-Stimulating Factor	colony stimulating factor 1 (macrophage)	120420	1435	PR:000005930	macrophage colony-stimulating factor 1	M-CSF;MCSF;CSF1;lanimostim;Csfm;CSF-1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005930	-	10090	Macrophage Colony-Stimulating Factor;Macrophage Colony Stimulating Factor;MCSF;	CSF-1;MCSF;	CSF1_MOUSE	Processed macrophage colony-stimulating factor 1	CID_141
ANA515	Csf1r					CSF-1 receptor;CSF-1-R;c-fms;macrophage colony-stimulating factor 1 receptor;proto-oncogene c-Fms;proto-oncogene fms;	AI323359;CD115;CSF-1R;Csfmr;Fim-2;Fms;M-CSF-R;M-CSFR;	12978	MGI:1339758	Csf1r	-	http://www.ncbi.nlm.nih.gov/gene/?term=12978	-	-	colony stimulating factor 1 receptor	164770	1436	PR:000002062	macrophage colony-stimulating factor 1 receptor	CSF1R;Csfmr;FMS;CSF-1-R;CD115;proto-oncogene c-Fms;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002062	-	10090	-	CSF-1 receptor;CSF-1-R;CSF-1R;M-CSF-R;Proto-oncogene c-Fms;	CSF1R_MOUSE	Macrophage colony-stimulating factor 1 receptor	CID_192
