ANALYTE_ACCESSION	GENE_SYMBOL	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	LINK	OFFICIAL_GENE_NAME	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	TAXONOMY_ID	UNIPROT_ENTRY	UNIPROT_ENTRY_NAME
ANA228	TNFRSF14	RP3-395M20.6;ATAR;CD270;HVEA;HVEM;LIGHTR;TR2;	8764	HGNC:11912	TNFRSF14	http://www.ncbi.nlm.nih.gov/gene/?term=8764	tumor necrosis factor receptor superfamily, member 14	PR:000016481	tumor necrosis factor receptor superfamily member 14	herpesvirus entry mediator A;HVEM;tumor necrosis factor receptor-like 2;HveA;CD270;TNFRSF14;TR2;herpes virus entry mediator A;	9606	TNR14_HUMAN	Tumor necrosis factor receptor superfamily member 14
ANA229	TNFRSF17	BCM;BCMA;CD269;TNFRSF13A;	608	HGNC:11913	TNFRSF17	http://www.ncbi.nlm.nih.gov/gene/?term=608	tumor necrosis factor receptor superfamily, member 17	PR:000001406	tumor necrosis factor receptor superfamily member 17	B-cell maturation protein;BCM;BCMA;CD269;TNFRSF17;	9606	TNR17_HUMAN	Tumor necrosis factor receptor superfamily member 17
ANA23	CCL3P1	CCL3L2; G0S19-3; SCYA3L2; LD78gamma;	390788	HGNC:10629	CCL3P1	http://www.ncbi.nlm.nih.gov/gene/?term=390788	chemokine (C-C motif) ligand 3 pseudogene 1	-	-	-	9606	-	-
ANA230	TNFRSF18	RP5-902P8.2;AITR;CD357;GITR;GITR-D;	8784	HGNC:11914	TNFRSF18	http://www.ncbi.nlm.nih.gov/gene/?term=8784	tumor necrosis factor receptor superfamily, member 18	PR:000016482	tumor necrosis factor receptor superfamily member 18	AITR;GITR;TNFRSF18;CD357;glucocorticoid-induced TNFR-related protein;activation-inducible TNFR family receptor;	9606	TNR18_HUMAN	Tumor necrosis factor receptor superfamily member 18
ANA231	TNFRSF1A	CD120a;FPF;MS5;TBP1;TNF-R;TNF-R-I;TNF-R55;TNFAR;TNFR1;TNFR1-d2;TNFR55;TNFR60;p55;p55-R;p60;	7132	HGNC:11916	TNFRSF1A	http://www.ncbi.nlm.nih.gov/gene/?term=7132	tumor necrosis factor receptor superfamily, member 1A	PR:000001958	tumor necrosis factor receptor superfamily member 1A	TNFR1;TNF-R1;tumor necrosis factor receptor type I;tumor necrosis factor receptor 1;TNFR-I;p60;CD120a;TNF-RI;TNFAR;Tnfr-1;TNFRSF1A;p55;	9606	TNR1A_HUMAN	Tumor necrosis factor-binding protein 1
ANA232	TNFRSF1B	CD120b;TBPII;TNF-R-II;TNF-R75;TNFBR;TNFR1B;TNFR2;TNFR80;p75;p75TNFR;	7133	HGNC:11917	TNFRSF1B	http://www.ncbi.nlm.nih.gov/gene/?term=7133	tumor necrosis factor receptor superfamily, member 1B	PR:000001959	tumor necrosis factor receptor superfamily member 1B	p80 TNF-alpha receptor;TNFRSF1B;tumor necrosis factor receptor 2;TNF-R2;etanercept;p75;CD120b;TNFR-II;TNF-RII;TNFBR;tumor necrosis factor receptor type II;Tnfr-2;TNFR2;	9606	TNR1B_HUMAN	Tumor necrosis factor-binding protein 2
ANA233	TNFRSF25	RP4-650H14.2;APO-3;DDR3;DR3;LARD;TNFRSF12;TR3;TRAMP;WSL-1;WSL-LR;	8718	HGNC:11910	TNFRSF25	http://www.ncbi.nlm.nih.gov/gene/?term=8718	tumor necrosis factor receptor superfamily, member 25	PR:000016485	tumor necrosis factor receptor superfamily member 25	APO3;DDR3;DR3;LARD;TNFRSF12;TNFRSF25;WSL;WSL1;apo-3;apoptosis-inducing receptor AIR;apoptosis-mediating receptor DR3;apoptosis-mediating receptor TRAMP;death receptor 3;lymphocyte-associated receptor of death;protein WSL;protein WSL-1;	9606	TNR25_HUMAN	Tumor necrosis factor receptor superfamily member 25
ANA234	TNFRSF4	RP5-902P8.3;ACT35;CD134;IMD16;OX40;TXGP1L;	7293	HGNC:11918	TNFRSF4	http://www.ncbi.nlm.nih.gov/gene/?term=7293	tumor necrosis factor receptor superfamily, member 4	PR:000001960	tumor necrosis factor receptor superfamily member 4	ACT35 antigen;CD134;OX40 antigen;OX40L receptor;Ox40;TAX transcriptionally-activated glycoprotein 1 receptor;TNFRSF4;TXGP1L;Txgp1;	9606	TNR4_HUMAN	Tumor necrosis factor receptor superfamily member 4
ANA235	TNFRSF8	CD30;D1S166E;Ki-1;	943	HGNC:11923	TNFRSF8	http://www.ncbi.nlm.nih.gov/gene/?term=943	tumor necrosis factor receptor superfamily, member 8	PR:000001964	tumor necrosis factor receptor superfamily member 8	lymphocyte activation antigen CD30;TNFRSF8;CD30;D1S166E;Ki-1 antigen;CD30L receptor;	9606	TNR8_HUMAN	Tumor necrosis factor receptor superfamily member 8
ANA236	TNFRSF9	4-1BB;CD137;CDw137;ILA;	3604	HGNC:11924	TNFRSF9	http://www.ncbi.nlm.nih.gov/gene/?term=3604	tumor necrosis factor receptor superfamily, member 9	PR:000001965	tumor necrosis factor receptor superfamily member 9	T-cell antigen ILA;T-cell antigen 4-1BB;CD137;4-1BB ligand receptor;Ly63;T-cell antigen 4-1BB homolog;CDw137;TNFRSF9;ILA;	9606	TNR9_HUMAN	Tumor necrosis factor receptor superfamily member 9
ANA237	TNFSF10	TL2;APO2L;CD253;TRAIL;Apo-2L;	8743	HGNC:11925	TRAIL	http://www.ncbi.nlm.nih.gov/gene/?term=8743	tumor necrosis factor (ligand) superfamily, member 10	PR:000002106	tumor necrosis factor ligand superfamily member 10	APO2L;CD253;TNF-related apoptosis-inducing ligand;TNFSF10;TRAIL;apo-2 ligand;apo-2L;protein TRAIL;	9606	TNF10_HUMAN	Tumor necrosis factor ligand superfamily member 10
ANA238	TNFSF11	ODF;OPGL;sOdf;CD254;OPTB2;RANKL;TRANCE;hRANKL2;	8600	HGNC:11926	RANKL	http://www.ncbi.nlm.nih.gov/gene/?term=8600	tumor necrosis factor (ligand) superfamily, member 11	PR:000002107	tumor necrosis factor ligand superfamily member 11	RANKL;TNFSF11;ODF;TNF-related activation-induced cytokine;OPGL;CD254;osteoprotegerin ligand;receptor activator of nuclear factor kappa-B ligand;osteoclast differentiation factor;TRANCE;	9606	TNF11_HUMAN	Tumor necrosis factor ligand superfamily member 11, soluble form
ANA239	TNFSF12	APO3L;DR3LG;TWEAK;	8742	HGNC:11927	TNFSF12	http://www.ncbi.nlm.nih.gov/gene/?term=8742	tumor necrosis factor (ligand) superfamily, member 12	PR:000016487	tumor necrosis factor ligand superfamily member 12	APO3 ligand;DR3LG;APO3L;TNF-related weak inducer of apoptosis;TWEAK;TNFSF12;	9606	TNF12_HUMAN	Tumor necrosis factor ligand superfamily member 12, secreted form
ANA24	CCL4	ACT2;G-26;HC21;LAG1;LAG-1;MIP1B;SCYA2;SCYA4;MIP1B1;AT744.1;MIP-1-beta;	6351	HGNC:10630	MIP1B	http://www.ncbi.nlm.nih.gov/gene/?term=6351	chemokine (C-C motif) ligand 4	PR:000002124	C-C motif chemokine 4	LAG-1;immune activation protein 2;ACT2;ACT-2;SCYA4;HC21;macrophage inflammatory protein 1-beta;small-inducible cytokine A4;T-cell activation protein 2;LAG1;SIS-gamma;MIP-1-beta;CCL4;MIP1B;G-26 T-lymphocyte-secreted protein;MIP-1-beta(1-69);protein H400;lymphocyte activation gene 1 protein;PAT 744;	9606	CCL4_HUMAN	MIP-1-beta(3-69)
ANA240	TNFSF13	APRIL;CD256;TALL2;ZTNF2;TALL-2;TRDL-1;UNQ383/PRO715;	8741	HGNC:11928	TNFSF13	http://www.ncbi.nlm.nih.gov/gene/?term=8741	tumor necrosis factor (ligand) superfamily, member 13	PR:000001947	tumor necrosis factor ligand superfamily member 13	ZTNF2;TNF-related death ligand 1;A proliferation-inducing ligand;TNFSF13;CD256;TALL-2;APRIL;TNF- and APOL-related leukocyte expressed ligand 2;TRDL-1;TALL2;	9606	TNF13_HUMAN	Tumor necrosis factor ligand superfamily member 13
ANA195	MIF	GIF;GLIF;MMIF;	4282	HGNC:7097	MIF	http://www.ncbi.nlm.nih.gov/gene/?term=4282	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	PR:000010413	macrophage migration inhibitory factor	DER6;GIF;GLIF;L-dopachrome isomerase;L-dopachrome tautomerase;MIFPRO-short-label;MMIF;delayed early response protein 6;glycosylation-inhibiting factor;phenylpyruvate tautomerase;	9606	MIF_HUMAN	Macrophage migration inhibitory factor
ANA196	MPL	RP1-92O14.1;C-MPL;CD110V;THCYT2;TPOR;MPL;	4352	HGNC:7217	MPL	http://www.ncbi.nlm.nih.gov/gene/?term=4352	myeloproliferative leukemia virus oncogene	PR:000001939	thrombopoietin receptor	MPL;proto-oncogene c-Mpl;TPOR;TPO-R;CD110;myeloproliferative leukemia protein;	9606	TPOR_HUMAN	Thrombopoietin receptor
ANA197	MST1	MSP;HGFL;NF15S2;D3F15S2;DNF15S2;	4485	HGNC:7380	MST1	http://www.ncbi.nlm.nih.gov/gene/?term=4485	macrophage stimulating 1	PR:000010683	hepatocyte growth factor-like protein	D3F15S2;DNF15S2;HGFL;MSP;MST1;macrophage stimulatory protein;macrophage-stimulating protein;	9606	HGFL_HUMAN	Hepatocyte growth factor-like protein
ANA198	MST1R	CD136;CDw136;PTK8;RON;	4486	HGNC:7381	MST1R	http://www.ncbi.nlm.nih.gov/gene/?term=4486	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	PR:000002063	macrophage-stimulating protein receptor	Stem cell-derived tyrosine kinase;RON;p185-Ron;PTK8;CD136;Stk;MSP receptor;protein-tyrosine kinase 8;MST1R;CDw136;	9606	RON_HUMAN	Macrophage-stimulating protein receptor beta chain
ANA199	OSM	-	5008	HGNC:8506	OSM	http://www.ncbi.nlm.nih.gov/gene/?term=5008	oncostatin M	PR:000012059	oncostatin-M	OSM;	9606	ONCM_HUMAN	Oncostatin-M
ANA2	CCL1	P500;SISe;TCA3;I-309;SCYA1;	6346	HGNC:10609	CCL1	http://www.ncbi.nlm.nih.gov/gene/?term=6346	chemokine (C-C motif) ligand 1	PR:000001985	C-C motif chemokine 1	TCA-3;CCL1;T-cell activation protein 3;TCA3;SCYA1;SIS-epsilon;small-inducible cytokine A1;P500;T lymphocyte-secreted protein I-309;	9606	CCL1_HUMAN	C-C motif chemokine 1
ANA20	CCL3	MIP1A;SCYA3;G0S19-1;LD78ALPHA;MIP-1-alpha;	6348	HGNC:10627	MIP1A	http://www.ncbi.nlm.nih.gov/gene/?term=6348	chemokine (C-C motif) ligand 3	PR:000002123	C-C motif chemokine 3	TY-5;SCYA3;tonsillar lymphocyte LD78 alpha protein;MIP-1-alpha;heparin-binding chemotaxis protein;L2G25B;macrophage inflammatory protein 1-alpha;PAT 464.1;G0S19-1;SIS-alpha;small-inducible cytokine A3;SIS-beta;MIP1A;G0/G1 switch regulatory protein 19-1;CCL3;	9606	CCL3_HUMAN	MIP-1-alpha(4-69)
ANA200	OSMR	OSMRB;PLCA1;	9180	HGNC:8507	OSMR	http://www.ncbi.nlm.nih.gov/gene/?term=9180	oncostatin M receptor	PR:000012060	oncostatin-M-specific receptor subunit beta	IL-31 receptor subunit beta;OSMRB;OSMR;IL-31R subunit beta;interleukin-31 receptor subunit beta;IL-31RB;IL-31R-beta;	9606	OSMR_HUMAN	Oncostatin-M-specific receptor subunit beta
ANA201	PDGFA	PDGF1;PDGF-A;	5154	HGNC:8799	PDGFA	http://www.ncbi.nlm.nih.gov/gene/?term=5154	platelet-derived growth factor alpha polypeptide	PR:000012490	platelet-derived growth factor subunit A	platelet-derived growth factor subunit A;PDGF subunit A;PDGF-1;PDGF1;PDGFA;platelet-derived growth factor A chain;platelet-derived growth factor alpha polypeptide;	9606	PDGFA_HUMAN	Platelet-derived growth factor subunit A
ANA202	PDGFB	SIS;SSV;IBGC5;PDGF2;c-sis;PDGF-2;	5155	HGNC:8800	PDGFB	http://www.ncbi.nlm.nih.gov/gene/?term=5155	platelet-derived growth factor beta polypeptide	PR:000012491	platelet-derived growth factor subunit B	platelet-derived growth factor subunit B;PDGF subunit B;PDGF-2;PDGF2;PDGFB;SIS;becaplermin;platelet-derived growth factor B chain;platelet-derived growth factor beta polypeptide;proto-oncogene c-Sis;	9606	PDGFB_HUMAN	Platelet-derived growth factor subunit B
ANA203	PDGFRA	CD140A;PDGFR-2;PDGFR2;RHEPDGFRA;	5156	HGNC:8803	PDGFRA	http://www.ncbi.nlm.nih.gov/gene/?term=5156	platelet-derived growth factor receptor, alpha polypeptide	PR:000002030	alpha-type platelet-derived growth factor receptor	CD140a;CD140 antigen-like family member A;CD140a antigen;PDGF-R-alpha;PDGFRA;	9606	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha
ANA204	PDGFRB	CD140B;IBGC4;IMF1;JTK12;PDGFR;PDGFR-1;PDGFR1;	5159	HGNC:8804	PDGFRB	http://www.ncbi.nlm.nih.gov/gene/?term=5159	platelet-derived growth factor receptor, beta polypeptide	PR:000002035	beta-type platelet-derived growth factor receptor	Pdgfr;PDGF-R-beta;PDGFRB;CD140 antigen-like family member B;CD140b;	9606	PGFRB_HUMAN	Platelet-derived growth factor receptor beta
ANA205	PF4	PF-4;CXCL4;SCYB4;	5196	HGNC:8861	PF4	http://www.ncbi.nlm.nih.gov/gene/?term=5196	platelet factor 4	PR:000012569	platelet factor 4	SCYB4;PF4;iroplact;PF-4;CXCL4;C-X-C motif chemokine 4;oncostatin-A;	9606	PLF4_HUMAN	Platelet factor 4, short form
ANA206	PF4V1	PF4A;CXCL4L1;CXCL4V1;PF4-ALT;SCYB4V1;	5197	HGNC:8862	PF4V1	http://www.ncbi.nlm.nih.gov/gene/?term=5197	platelet factor 4 variant 1	PR:000012570	platelet factor 4 variant	PF4alt;PF4var1;CXCL4V1;SCYB4V1;PF4V1;C-X-C motif chemokine 4 variant;CXCL4L1;	9606	PF4V_HUMAN	Platelet factor 4 variant(6-74)
ANA207	PPBP	PBP;TC1;TC2;TGB;LDGF;MDGF;TGB1;B-TG1;CTAP3;CXCL7;NAP-2;SCYB7;THBGB;LA-PF4;THBGB1;Beta-TG;CTAPIII;CTAP-III;	5473	HGNC:9240	PPBP	http://www.ncbi.nlm.nih.gov/gene/?term=5473	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	PR:000013062	platelet basic protein	small-inducible cytokine B7;macrophage-derived growth factor;PPBP;LDGF;THBGB1;SCYB7;CXCL7;leukocyte-derived growth factor;C-X-C motif chemokine 7;TGB1;PBP;CTAP3;MDGF;	9606	CXCL7_HUMAN	Neutrophil-activating peptide 2(1-63)
ANA3	CCL11	SCYA11;	6356	HGNC:10610	Eotaxin	http://www.ncbi.nlm.nih.gov/gene/?term=6356	chemokine (C-C motif) ligand 11	PR:000002139	eotaxin	C-C motif chemokine 11;eosinophil chemotactic protein;CCL11;SCYA11;small-inducible cytokine A11;	9606	CCL11_HUMAN	Eotaxin
ANA30	CCR1	CD191;CKR-1;CKR1;CMKBR1;HM145;MIP1aR;SCYAR1;	1230	HGNC:1602	CCR1	http://www.ncbi.nlm.nih.gov/gene/?term=1230	chemokine (C-C motif) receptor 1	PR:000001254	chemokine receptor CCR1	HM145;CCR-1;RANTES-R;CD191;CMKBR1;CC-CKR-1;LD78 receptor;macrophage inflammatory protein 1-alpha receptor;C-C CKR-1;CCR1;MIP-1alpha-R;SCYAR1;CMKR1;	9606	CCR1_HUMAN	C-C chemokine receptor type 1
ANA31	CCR10	GPR2;	2826	HGNC:4474	CCR10	http://www.ncbi.nlm.nih.gov/gene/?term=2826	chemokine (C-C motif) receptor 10	PR:000001198	C-C chemokine receptor type 10	chemokine receptor CCR10;chemokine C-C receptor 9;C-C CKR-10;Cmkbr9;CC-CKR-10;CCR-10;GPR2;G-protein coupled receptor 2;CCR10;	9606	CCR10_HUMAN	C-C chemokine receptor type 10
ANA32	CCR2	hCG_14621;CC-CKR-2;CCR-2A;CCR2B;CD192;CKR2;CKR2A;CKR2B;CMKBR2;MCP-1-R;CCR2;	729230	HGNC:1603	CCR2	http://www.ncbi.nlm.nih.gov/gene/?term=729230	chemokine (C-C motif) receptor 2	PR:000001199	C-C chemokine receptor type 2	C-C CKR-2;CC-CKR-2;CCR-2;MCP-1-R;JE/FIC receptor;monocyte chemoattractant protein 1 receptor;CCR2;chemokine receptor CCR2;CMKBR2;MCP-1 receptor;CD192;	9606	CCR2_HUMAN	C-C chemokine receptor type 2
ANA33	CCR3	CC-CKR-3;CD193;CKR3;CMKBR3;	1232	HGNC:1604	CCR3	http://www.ncbi.nlm.nih.gov/gene/?term=1232	chemokine (C-C motif) receptor 3	PR:000001255	chemokine receptor CCR3	Cmkbr1l2;C-C CKR-3;eosinophil eotaxin receptor;MIP-1 alpha RL2;CKR3;CMKBR3;macrophage inflammatory protein 1-alpha receptor-like 2;CC-CKR-3;CCR-3;CCR3;CD193;	9606	CCR3_HUMAN	C-C chemokine receptor type 3
ANA34	CCR4	CC-CKR-4;CD194;CKR4;CMKBR4;ChemR13;HGCN:14099;K5-5;	1233	HGNC:1605	CCR4	http://www.ncbi.nlm.nih.gov/gene/?term=1233	chemokine (C-C motif) receptor 4	PR:000001200	C-C chemokine receptor type 4	CMKBR4;CD194;K5-5;chemokine receptor CCR4;C-C CKR-4;CCR-4;CCR4;CC-CKR-4;	9606	CCR4_HUMAN	C-C chemokine receptor type 4
ANA35	CCR5	CC-CKR-5;CCCKR5;CCR-5;CD195;CKR-5;CKR5;CMKBR5;IDDM22;	1234	HGNC:1606	CCR5	http://www.ncbi.nlm.nih.gov/gene/?term=1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	PR:000001201	C-C chemokine receptor type 5	CCR5;MIP-1 alpha receptor;CMKBR5;chemokine receptor CCR5;CD195;HIV-1 fusion coreceptor;CHEMR13;C-C CKR-5;CC-CKR-5;CCR-5;	9606	CCR5_HUMAN	C-C chemokine receptor type 5
ANA36	CCR6	BN-1;C-C CKR-6;CC-CKR-6;CCR-6;CD196;CKR-L3;CKRL3;CMKBR6;DCR2;DRY6;GPR29;GPRCY4;STRL22;	1235	HGNC:1607	CCR6	http://www.ncbi.nlm.nih.gov/gene/?term=1235	chemokine (C-C motif) receptor 6	PR:000001202	C-C chemokine receptor type 6	chemokine receptor-like 3;CKR-L3;CCR6;KY411;DRY6;G-protein coupled receptor 29;GPR29;GPR-CY4;LARC receptor;CD196;chemokine receptor CCR6;CC-CKR-6;STRL22;GPRCY4;C-C CKR-6;CKRL3;CMKBR6;CCR-6;	9606	CCR6_HUMAN	C-C chemokine receptor type 6
ANA37	CCR7	BLR2;CD197;CDw197;CMKBR7;EBI1;	1236	HGNC:1608	CCR7	http://www.ncbi.nlm.nih.gov/gene/?term=1236	chemokine (C-C motif) receptor 7	PR:000001203	C-C chemokine receptor type 7	CMKBR7;EBI1;C-C CKR-7;Ebi1h;CD197;CCR7;CDw197;MIP-3 beta receptor;CCR-7;BLR2;chemokine receptor CCR7;EBV-induced G-protein coupled receptor 1;epstein-Barr virus-induced G-protein coupled receptor 1;EVI1;CC-CKR-7;	9606	CCR7_HUMAN	C-C chemokine receptor type 7
ANA38	CCR8	CC-CKR-8;CCR-8;CDw198;CKRL1;CMKBR8;CMKBRL2;CY6;GPRCY6;TER1;	1237	HGNC:1609	CCR8	http://www.ncbi.nlm.nih.gov/gene/?term=1237	chemokine (C-C motif) receptor 8	PR:000001204	C-C chemokine receptor type 8	CMKBR8;TER1;GPRCY6;C-C CKR-8;CKR-L1;CCR-8;chemokine receptor-like 1;CC-CKR-8;CCR8;CKRL1;CDw198;CMKBRL2;GPR-CY6;CC chemokine receptor CHEMR1;chemokine receptor CCR8;	9606	CCR8_HUMAN	C-C chemokine receptor type 8
ANA39	CCR9	CC-CKR-9;CDw199;GPR-9-6;GPR28;	10803	HGNC:1610	CCR9	http://www.ncbi.nlm.nih.gov/gene/?term=10803	chemokine (C-C motif) receptor 9	PR:000001205	C-C chemokine receptor type 9	CC-CKR-9;C-C CKR-9;GPR-9-6;CDw199;CCR9;GPR28;chemokine receptor CCR9;G-protein coupled receptor 28;chemokine C-C receptor 10;Cmkbr10;CMKBR9;CCR-9;	9606	CCR9_HUMAN	C-C chemokine receptor type 9
ANA4	CCL13	NCC1;CKb10;MCP-4;NCC-1;SCYL1;SCYA13;	6357	HGNC:10611	CCL13	http://www.ncbi.nlm.nih.gov/gene/?term=6357	chemokine (C-C motif) ligand 13	PR:000002121	C-C motif chemokine 13	SCYA13;MCP-4;monocyte chemotactic protein 4;NCC-1;CK-beta-10;monocyte chemoattractant protein 4;NCC1;CCL13;small-inducible cytokine A13;MCP4;	9606	CCL13_HUMAN	C-C motif chemokine 13, short chain
ANA40	CD27	S152;S152. LPFS2;T14;TNFRSF7;Tp55;	939	HGNC:11922	CD27	http://www.ncbi.nlm.nih.gov/gene/?term=939	CD27 molecule	PR:000001963	CD27 molecule	TNFRSF7;T-cell activation antigen CD27;CD27L receptor;CD27;T14;	9606	CD27_HUMAN	CD27 antigen
ANA41	CD4	CD4mut;	920	HGNC:1678	CD4	http://www.ncbi.nlm.nih.gov/gene/?term=920	CD4 molecule	PR:000001004	CD4 molecule	T-cell differentiation antigen L3T4;CD4;T-cell surface glycoprotein CD4;T-cell surface antigen T4/Leu-3;	9606	CD4_HUMAN	T-cell surface glycoprotein CD4
ANA42	CD40	Bp50;CDW40;TNFRSF5;p50;	958	HGNC:11919	CD40	http://www.ncbi.nlm.nih.gov/gene/?term=958	CD40 molecule, TNF receptor superfamily member 5	PR:000001961	tumor necrosis factor receptor superfamily member 5	CD40;B-cell surface antigen CD40;CD40L receptor;TNFRSF5;CDw40;Bp50;	9606	TNR5_HUMAN	Tumor necrosis factor receptor superfamily member 5
ANA43	CD40LG	IGM;IMD3;TRAP;gp39;CD154;CD40L;HIGM1;T-BAM;TNFSF5;hCD40L;	959	HGNC:11935	CD40LG	http://www.ncbi.nlm.nih.gov/gene/?term=959	CD40 ligand	PR:000001950	tumor necrosis factor ligand superfamily member 5	TRAP;CD40L;TNF-related activation protein;TNFSF5;T-cell antigen Gp39;CD40LG;CD154;CD40-L;	9606	CD40L_HUMAN	CD40 ligand, soluble form
ANA44	CD70	CD27L;CD27LG;TNFSF7;	970	HGNC:11937	CD70	http://www.ncbi.nlm.nih.gov/gene/?term=970	CD70 molecule	PR:000001309	CD70 molecule	CD27 ligand;CD27-L;CD27L;CD27LG;CD70PRO-short-label;CD70 antigen;TNFSF7;tumor necrosis factor ligand superfamily member 7;	9606	CD70_HUMAN	CD70 antigen
ANA45	CKLF	C32;CKLF1;CKLF2;CKLF3;CKLF4;UCK-1;HSPC224;	51192	HGNC:13253	CKLF	http://www.ncbi.nlm.nih.gov/gene/?term=51192	chemokine-like factor	PR:000005514	chemokine-like factor	chemokine-like factor;C32;CKLF;CKLF1;	9606	CKLF_HUMAN	Chemokine-like factor
ANA822	PTPRC	LCA; LY5; B220; CD45RO; L-CA; T200; CD45RO; GP180	5788	HGNC:9666	CD45RO		protein tyrosine phosphatase, receptor type C	PR:000001017	receptor-type tyrosine-protein phosphatase C isoform CD45RO	CD45R0;PTPRC/iso:CD45R0	9606	PTPRC_HUMAN	Receptor-type tyrosine-protein phosphatase C
ANA46	CLCF1	CLC;NR6;BSF3;NNT1;BSF-3;CISS2;NNT-1;	23529	HGNC:17412	CLCF1	http://www.ncbi.nlm.nih.gov/gene/?term=23529	cardiotrophin-like cytokine factor 1	PR:000005527	cardiotrophin-like cytokine factor 1	CLCF1;novel neurotrophin-1;BSF-3;NNT1;CLC;BSF3;B-cell-stimulating factor 3;NNT-1;	9606	CLCF1_HUMAN	Cardiotrophin-like cytokine factor 1
ANA47	CMTM1	CKLFH;CKLFH1;CKLFSF1;	113540	HGNC:19172	CMTM1	http://www.ncbi.nlm.nih.gov/gene/?term=113540	CKLF-like MARVEL transmembrane domain containing 1	PR:000029358	CKLF-like MARVEL transmembrane domain-containing protein 1	CMTM1;chemokine-like factor superfamily member 1;CKLFSF1;	9606	CKLF1_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 1
ANA475	Ackr3	AW541270;CXC-R7;CXCR-7;Cmkor1;Cxcr7;RDC-1;Rdc1;	12778	MGI:109562	Ackr3	http://www.ncbi.nlm.nih.gov/gene/?term=12778	atypical chemokine receptor 3	PR:000001211	chemokine receptor CXCR7	CXCR-7;CMKOR1;RDC-1;CXCR7;chemokine orphan receptor 1;GPR159;ACKR3;CXC-R7;RDC1;G-protein coupled receptor RDC1 homolog;G-protein coupled receptor 159;	10090	ACKR3_MOUSE	Atypical chemokine receptor 3
ANA476	Ccl1	I-309;Scya1;Tca-3;BF534335;	20290	MGI:98258	Ccl1	http://www.ncbi.nlm.nih.gov/gene/?term=20290	chemokine (C-C motif) ligand 1	PR:000001985	C-C motif chemokine 1	TCA-3;CCL1;T-cell activation protein 3;TCA3;SCYA1;SIS-epsilon;small-inducible cytokine A1;P500;T lymphocyte-secreted protein I-309;	10090	CCL1_MOUSE	C-C motif chemokine 1
ANA477	Ccl11	Scya11;eotaxin;	20292	MGI:103576	Eotaxin	http://www.ncbi.nlm.nih.gov/gene/?term=20292	chemokine (C-C motif) ligand 11	PR:000002139	eotaxin	C-C motif chemokine 11;eosinophil chemotactic protein;CCL11;SCYA11;small-inducible cytokine A11;	10090	CCL11_MOUSE	Eotaxin
ANA478	Ccl17	Tarc;Abcd-2;Scya17;Scya17l;	20295	MGI:1329039	Ccl17	http://www.ncbi.nlm.nih.gov/gene/?term=20295	chemokine (C-C motif) ligand 17	PR:000001989	C-C motif chemokine 17	SCYA17;thymus and activation-regulated chemokine;small-inducible cytokine A17;CCL17;CC chemokine TARC;TARC;	10090	-	-
ANA479	Ccl19	ELC;CKb11;MIP3B;Scya19;exodus-3;	24047	MGI:1346316	Ccl19	http://www.ncbi.nlm.nih.gov/gene/?term=24047	chemokine (C-C motif) ligand 19	PR:000001991	C-C motif chemokine 19	MIP3B;epstein-Barr virus-induced molecule 1 ligand chemokine;small-inducible cytokine A19;beta chemokine exodus-3;CK beta-11;MIP-3-beta;CCL19;ELC;EBI1 ligand chemokine;macrophage inflammatory protein 3 beta;SCYA19;	10090	CCL19_MOUSE	C-C motif chemokine 19
ANA48	CMTM6	CKLFSF6;PRO2219;	54918	HGNC:19177	CMTM6	http://www.ncbi.nlm.nih.gov/gene/?term=54918	CKLF-like MARVEL transmembrane domain containing 6	PR:000029359	CKLF-like MARVEL transmembrane domain-containing protein 6	CMTM6;CKLFSF6;chemokine-like factor superfamily member 6;	9606	CKLF6_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 6
ANA480	Ccl2	JE;HC11;MCAF;MCP1;MCP-1;Scya2;Sigje;SMC-CF;AI323594;	20296	MGI:98259	Ccl2	http://www.ncbi.nlm.nih.gov/gene/?term=20296	chemokine (C-C motif) ligand 2	PR:000002122	C-C motif chemokine 2	CCL2;MCP1;small-inducible cytokine A2;Je;monocyte secretory protein JE;platelet-derived growth factor-inducible protein JE;monocyte chemotactic and activating factor;monocyte chemotactic protein 1;MCAF;SCYA2;HC11;monocyte chemoattractant protein 1;MCP-1;	10090	CCL2_MOUSE	C-C motif chemokine 2
